x,y,z
2.783844470977783203e+00,-9.265856742858886719e-01,-5.694960355758666992e-01
1.073787498474121094e+01,-7.277350425720214844e-01,2.705627679824829102e-02
3.380396366119384766e+00,-3.300333619117736816e-01,-1.717943847179412842e-01
5.965456485748291016e+00,-4.294590950012207031e-01,-3.706450164318084717e-01
8.649941444396972656e+00,-8.271603584289550781e-01,-5.441339492797851562e+00
1.014132213592529297e+01,-1.311827152967453003e-01,-7.236905395984649658e-02
1.014132213592529297e+01,-7.277350425720214844e-01,-3.706450164318084717e-01
8.053388595581054688e+00,-9.265856742858886719e-01,-5.043637752532958984e+00
7.556262493133544922e+00,-9.265856742858886719e-01,4.202922344207763672e+00
3.380396366119384766e+00,-9.265856742858886719e-01,5.241832733154296875e-01
1.004189682006835938e+01,-2.306080460548400879e-01,2.705627679824829102e-02
1.034017276763916016e+01,-7.277350425720214844e-01,9.218845963478088379e-01
5.468329429626464844e+00,-1.224862098693847656e+00,5.241832733154296875e-01
4.175799369812011719e+00,-1.224862098693847656e+00,-3.706450164318084717e-01
1.014132213592529297e+01,-5.288843512535095215e-01,-1.717943847179412842e-01
7.755113124847412109e+00,-9.265856742858886719e-01,4.302347660064697266e+00
8.252239227294921875e+00,-1.423712730407714844e+00,-1.717943847179412842e-01
1.113557624816894531e+01,-5.288843512535095215e-01,1.717287540435791016e+00
8.948217391967773438e+00,-5.288843512535095215e-01,-3.706450164318084717e-01
1.014132213592529297e+01,5.647949576377868652e-01,2.705627679824829102e-02
5.567754745483398438e+00,-1.125436782836914062e+00,-8.677720427513122559e-01
1.789590358734130859e+00,-1.125436782836914062e+00,2.705627679824829102e-02
6.760859489440917969e+00,-1.125436782836914062e+00,-9.671973586082458496e-01
9.644195556640625000e+00,-1.026010990142822266e+00,3.253322541713714600e-01
7.655687808990478516e+00,-1.026010990142822266e+00,3.407518863677978516e+00
5.170053005218505859e+00,-1.324287414550781250e+00,1.264815926551818848e-01
6.064881801605224609e+00,-3.300333619117736816e-01,1.264815926551818848e-01
1.043959808349609375e+01,-1.311827152967453003e-01,-7.236905395984649658e-02
1.690165042877197266e+00,-9.265856742858886719e-01,-2.712197005748748779e-01
5.667180061340332031e+00,-4.294590950012207031e-01,3.253322541713714600e-01
1.073787498474121094e+01,1.260772705078125000e+00,2.705627679824829102e-02
1.014132213592529297e+01,-7.277350425720214844e-01,-7.683467268943786621e-01
9.843046188354492188e+00,-1.224862098693847656e+00,-1.717943847179412842e-01
8.550516128540039062e+00,-5.288843512535095215e-01,-4.700707495212554932e-01
6.860284805297851562e+00,-1.026010990142822266e+00,-2.558003425598144531e+00
1.053902435302734375e+01,-7.277350425720214844e-01,-8.677720427513122559e-01
7.755113124847412109e+00,-9.265856742858886719e-01,4.501198291778564453e+00
6.462583065032958984e+00,-1.026010990142822266e+00,-2.359152793884277344e+00
2.883269786834716797e+00,-1.324287414550781250e+00,-1.717943847179412842e-01
7.556262493133544922e+00,-9.265856742858886719e-01,4.103496551513671875e+00
5.766605377197265625e+00,-1.324287414550781250e+00,3.253322541713714600e-01
7.059135437011718750e+00,-3.300333619117736816e-01,-2.712197005748748779e-01
4.573501110076904297e+00,-9.265856742858886719e-01,5.241832733154296875e-01
2.684419155120849609e+00,-1.324287414550781250e+00,-2.712197005748748779e-01
6.860284805297851562e+00,-1.125436782836914062e+00,-7.683467268943786621e-01
7.257986068725585938e+00,-1.125436782836914062e+00,1.916138172149658203e+00
5.567754745483398438e+00,-1.224862098693847656e+00,8.224592804908752441e-01
1.103614997863769531e+01,-4.294590950012207031e-01,1.916138172149658203e+00
1.073787498474121094e+01,-6.283097267150878906e-01,1.120735645294189453e+00
1.083729934692382812e+01,-7.277350425720214844e-01,-6.689214110374450684e-01
7.257986068725585938e+00,-3.300333619117736816e-01,1.264815926551818848e-01
8.053388595581054688e+00,-1.423712730407714844e+00,-7.236905395984649658e-02
